"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 14 12:39:08 GMT 2022","Wed Sep 14 12:39:08 GMT 2022","221","","","","","","[Post] - teste de autenticação com senha invalido",""
"broken","Mon Mar 20 23:22:10 GMT 2023","Mon Mar 20 23:22:10 GMT 2023","0","","testes de exclusão","","","","[PUT] curtir uma postagem",""
"broken","Mon Mar 20 23:22:20 GMT 2023","Mon Mar 20 23:22:20 GMT 2023","0","","Funcionalidade cadasrtro","","","","cadastro sem sucesso",""
"passed","Wed Sep 14 12:39:19 GMT 2022","Wed Sep 14 12:39:19 GMT 2022","46","","","","","","Unnamed",""
"passed","Wed Sep 14 12:40:08 GMT 2022","Wed Sep 14 12:40:08 GMT 2022","932","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email invalido e senha valido entao não deverá fazer login",""
"broken","Mon Mar 20 23:22:10 GMT 2023","Mon Mar 20 23:22:10 GMT 2023","280","","testes de exclusão","","","","[DELETE] deletar uma postagem",""
"broken","Mon Mar 20 23:22:10 GMT 2023","Mon Mar 20 23:22:10 GMT 2023","294","","teste de consulta","","","","[GET] consulta uma postagem",""
"passed","Wed Sep 14 12:39:07 GMT 2022","Wed Sep 14 12:39:08 GMT 2022","786","","","","","","[Post] - teste de autenticação",""
"passed","Wed Sep 14 12:40:05 GMT 2022","Wed Sep 14 12:40:08 GMT 2022","2925","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email e senha validos entao deverá fazer login",""
"passed","Wed Sep 14 12:39:47 GMT 2022","Wed Sep 14 12:40:00 GMT 2022","12661","","","","","","Concluir Cadastro Com sucesso",""
"broken","Mon Mar 20 23:22:20 GMT 2023","Mon Mar 20 23:22:20 GMT 2023","0","","Funcionalidade cadasrtro","","","","cadastrar massa de dados do fixtures",""
"passed","Wed Sep 14 12:40:08 GMT 2022","Wed Sep 14 12:40:11 GMT 2022","2515","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email valido e senha invalido entao não deverá fazer login",""
"broken","Mon Mar 20 23:22:09 GMT 2023","Mon Mar 20 23:22:10 GMT 2023","345","","validação de postagens","","","","[POST] Criar uma postagem",""
"broken","Mon Mar 20 23:22:20 GMT 2023","Mon Mar 20 23:22:20 GMT 2023","0","","Funcionalidade cadasrtro","","","","deve fazer cadastro sem sucesso",""
"broken","Mon Mar 20 23:22:10 GMT 2023","Mon Mar 20 23:22:10 GMT 2023","0","","teste de consulta","","","","[GET] consulta uma postagem por ID",""
"broken","Mon Mar 20 23:22:20 GMT 2023","Mon Mar 20 23:22:20 GMT 2023","318","","Funcionalidade cadasrtro","","","","deve fazer cadastro com sucesso",""
