"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 23 09:50:24 BRT 2022","Tue Aug 23 09:50:41 BRT 2022","16364","","realizar um chamado do protals","","","","realizar login e fazer uma nova chamada",""
"passed","Tue Sep 13 17:45:18 BRT 2022","Tue Sep 13 17:45:19 BRT 2022","805","","","","","","[Post] - teste de autenticação",""
"passed","Wed Aug 24 11:13:55 BRT 2022","Wed Aug 24 11:14:06 BRT 2022","10556","","processo de onboarding","","","","Unnamed",""
"passed","Tue Sep 13 17:45:19 BRT 2022","Tue Sep 13 17:45:19 BRT 2022","235","","","","","","[Post] - teste de autenticação com senha invalido",""
"passed","Tue Sep 13 17:46:05 BRT 2022","Tue Sep 13 17:46:07 BRT 2022","2233","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email e senha validos entao deverá fazer login",""
"passed","Tue Sep 13 17:45:26 BRT 2022","Tue Sep 13 17:45:27 BRT 2022","370","","validação de postagens","","","","[POST] Criar uma postagem",""
"passed","Tue Sep 13 17:46:34 BRT 2022","Tue Sep 13 17:46:36 BRT 2022","1936","","Funcionalidade cadasrtro","","","","deve fazer cadastro sem sucesso",""
"passed","Tue Sep 13 17:45:28 BRT 2022","Tue Sep 13 17:45:28 BRT 2022","461","","teste de consulta","","","","[GET] consulta uma postagem por ID",""
"passed","Tue Sep 13 17:45:27 BRT 2022","Tue Sep 13 17:45:28 BRT 2022","1405","","teste de consulta","","","","[GET] consulta uma postagem",""
"passed","Tue Aug 23 09:52:52 BRT 2022","Tue Aug 23 09:52:53 BRT 2022","809","","realizar um chamado do protals","","","","Unnamed",""
"passed","Tue Sep 13 17:46:07 BRT 2022","Tue Sep 13 17:46:09 BRT 2022","1106","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email invalido e senha valido entao não deverá fazer login",""
"passed","Mon Sep 12 16:40:02 BRT 2022","Mon Sep 12 16:40:03 BRT 2022","225","","","","","","[Post] - teste de autenticação com usuario invalido",""
"passed","Tue Sep 13 17:46:31 BRT 2022","Tue Sep 13 17:46:34 BRT 2022","3075","","Funcionalidade cadasrtro","","","","deve fazer cadastro com sucesso",""
"passed","Tue Sep 13 17:45:41 BRT 2022","Tue Sep 13 17:45:55 BRT 2022","13841","","","","","","Concluir Cadastro Com sucesso",""
"passed","Tue Sep 13 17:46:09 BRT 2022","Tue Sep 13 17:46:10 BRT 2022","1462","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email valido e senha invalido entao não deverá fazer login",""
"passed","Tue Sep 13 17:45:28 BRT 2022","Tue Sep 13 17:45:29 BRT 2022","471","","testes de exclusão","","","","[DELETE] deletar uma postagem",""
"passed","Fri Aug 19 16:07:33 BRT 2022","Fri Aug 19 16:07:34 BRT 2022","1053","","funcionaliade login","","","","login sem sucesso",""
"passed","Tue Sep 13 14:25:44 BRT 2022","Tue Sep 13 14:25:46 BRT 2022","1759","","teste de consulta","","","","[GET] Criar uma postagem",""
"failed","Mon Sep 12 18:30:25 BRT 2022","Mon Sep 12 18:30:25 BRT 2022","25","","","","","","An uncaught error was detected outside of a test",""
"failed","Fri Aug 19 16:00:06 BRT 2022","Fri Aug 19 16:00:16 BRT 2022","10024","","funcionaliade login","","","","mensagem de erro email errado",""
"passed","Wed Aug 24 11:03:23 BRT 2022","Wed Aug 24 11:03:34 BRT 2022","11310","","processo de onboarding","","","","faz cadastro no onboarding mar aberto",""
"passed","Fri Aug 19 16:07:31 BRT 2022","Fri Aug 19 16:07:33 BRT 2022","1957","","funcionaliade login","","","","deve fazer login com sucesso",""
"passed","Tue Sep 13 14:23:24 BRT 2022","Tue Sep 13 14:23:26 BRT 2022","1786","","validação de postagens","","","","[GET] Criar uma postagem",""
"failed","Mon Sep 12 18:47:44 BRT 2022","Mon Sep 12 18:47:46 BRT 2022","1913","","validação de postagens","","","","[GET] pesquisar por id",""
"passed","Tue Sep 13 17:45:29 BRT 2022","Tue Sep 13 17:45:29 BRT 2022","510","","testes de exclusão","","","","[PUT] curtir uma postagem",""
"failed","Tue Sep 13 14:04:52 BRT 2022","Tue Sep 13 14:04:54 BRT 2022","1561","","validar por id","","","","[GET] pesquisar por id",""
"passed","Tue Sep 13 17:46:39 BRT 2022","Tue Sep 13 17:46:41 BRT 2022","1687","","Funcionalidade cadasrtro","","","","cadastro sem sucesso",""
"passed","Tue Sep 13 17:46:18 BRT 2022","Tue Sep 13 17:46:18 BRT 2022","29","","","","","","Unnamed",""
"passed","Tue Sep 13 17:46:41 BRT 2022","Tue Sep 13 17:46:41 BRT 2022","337","","Funcionalidade cadasrtro","","","","cadastrar massa de dados do fixtures",""
